block,treatment,replicate_cage,day,frequency,censored
4,Ma04,1,4,6,0
4,Ma04,1,5,7,0
4,Ma04,1,6,4,0
4,Ma04,1,7,6,0
4,Ma04,1,8,2,0
4,Ma04,1,9,1,0
4,Ma04,1,10,5,0
4,Ma04,1,11,5,0
4,Ma04,1,12,1,0
4,Ma04,1,13,2,0
4,Ma04,1,14,3,0
4,Ma04,1,14,26,1
4,Ma04,2,0,0,0
4,Ma04,2,1,5,0
4,Ma04,2,2,0,0
4,Ma04,2,3,2,0
4,Ma04,2,4,5,0
4,Ma04,2,5,2,0
4,Ma04,2,6,4,0
4,Ma04,2,7,2,0
4,Ma04,2,8,1,0
4,Ma04,2,9,6,0
4,Ma04,2,10,2,0
4,Ma04,2,11,5,0
4,Ma04,2,12,2,0
4,Ma04,2,13,3,0
4,Ma04,2,14,3,0
4,Ma04,2,14,15,1
4,Ma04,3,0,0,0
4,Ma04,3,1,3,0
4,Ma04,3,2,2,0
4,Ma04,3,3,0,0
4,Ma04,3,4,4,0
4,Ma04,3,5,2,0
4,Ma04,3,6,2,0
4,Ma04,3,7,2,0
4,Ma04,3,8,2,0
4,Ma04,3,9,2,0
4,Ma04,3,10,0,0
4,Ma04,3,11,0,0
4,Ma04,3,12,0,0
4,Ma04,3,13,0,0
4,Ma04,3,14,2,0
4,Ma04,3,14,17,1
4,Ma04,4,0,0,0
4,Ma04,4,1,0,0
4,Ma04,4,2,1,0
4,Ma04,4,3,0,0
4,Ma04,4,4,2,0
4,Ma04,4,5,2,0
4,Ma04,4,6,0,0
4,Ma04,4,7,2,0
4,Ma04,4,8,1,0
4,Ma04,4,9,2,0
4,Ma04,4,10,1,0
4,Ma04,4,11,8,0
4,Ma04,4,12,1,0
4,Ma04,4,13,0,0
4,Ma04,4,14,2,0
4,Ma04,4,14,15,1
5,cont,1,0,0,0
5,cont,1,1,2,0
5,cont,1,2,0,0
5,cont,1,3,0,0
5,cont,1,4,2,0
5,cont,1,5,3,0
5,cont,1,6,3,0
5,cont,1,7,2,0
5,cont,1,8,2,0
5,cont,1,9,0,0
5,cont,1,10,2,0
5,cont,1,11,1,0
5,cont,1,12,1,0
5,cont,1,13,2,0
5,cont,1,14,2,0
5,cont,1,14,59,1
5,cont,2,0,0,0
5,cont,2,1,0,0
5,cont,2,2,1,0
5,cont,2,3,1,0
5,cont,2,4,0,0
5,cont,2,5,2,0
5,cont,2,6,2,0
5,cont,2,7,1,0
5,cont,2,8,2,0
5,cont,2,9,1,0
5,cont,2,10,1,0
5,cont,2,11,2,0
5,cont,2,12,2,0
5,cont,2,13,2,0
5,cont,2,14,1,0
5,cont,2,14,58,1
5,cont,3,0,0,0
5,cont,3,1,0,0
5,cont,3,2,1,0
5,cont,3,3,2,0
5,cont,3,4,1,0
5,cont,3,5,3,0
5,cont,3,6,1,0
5,cont,3,7,0,0
5,cont,3,8,2,0
5,cont,3,9,7,0
5,cont,3,10,2,0
5,cont,3,11,1,0
5,cont,3,12,2,0
5,cont,3,13,2,0
5,cont,3,14,1,0
5,cont,3,14,71,1
5,cont,4,0,0,0
5,cont,4,1,1,0
5,cont,4,2,0,0
5,cont,4,3,1,0
5,cont,4,4,1,0
5,cont,4,5,3,0
5,cont,4,6,2,0
5,cont,4,7,1,0
5,cont,4,8,1,0
5,cont,4,9,4,0
5,cont,4,10,0,0
5,cont,4,11,2,0
5,cont,4,12,4,0
5,cont,4,13,1,0
5,cont,4,14,1,0
5,cont,4,14,72,1
5,Ma05,1,0,0,0
5,Ma05,1,1,0,0
5,Ma05,1,2,0,0
5,Ma05,1,3,1,0
5,Ma05,1,4,4,0
5,Ma05,1,5,6,0
5,Ma05,1,6,13,0
5,Ma05,1,7,7,0
5,Ma05,1,8,1,0
5,Ma05,1,9,2,0
5,Ma05,1,10,1,0
5,Ma05,1,11,1,0
5,Ma05,1,12,2,0
5,Ma05,1,13,3,0
5,Ma05,1,14,3,0
5,Ma05,1,14,19,1
5,Ma05,2,0,0,0
5,Ma05,2,1,0,0
5,Ma05,2,2,1,0
5,Ma05,2,3,2,0
5,Ma05,2,4,6,0
5,Ma05,2,5,9,0
5,Ma05,2,6,12,0
5,Ma05,2,7,10,0
5,Ma05,2,8,6,0
5,Ma05,2,9,0,0
5,Ma05,2,10,1,0
5,Ma05,2,11,2,0
5,Ma05,2,12,2,0
5,Ma05,2,13,3,0
5,Ma05,2,14,0,0
5,Ma05,2,14,14,1
5,Ma05,3,0,0,0
5,Ma05,3,1,0,0
5,Ma05,3,2,0,0
5,Ma05,3,3,4,0
5,Ma05,3,4,2,0
5,Ma05,3,5,16,0
5,Ma05,3,6,7,0
5,Ma05,3,7,9,0
5,Ma05,3,8,5,0
5,Ma05,3,9,2,0
5,Ma05,3,10,2,0
5,Ma05,3,11,0,0
5,Ma05,3,12,1,0
5,Ma05,3,13,2,0
5,Ma05,3,14,2,0
5,Ma05,3,14,11,1
5,Ma05,4,0,0,0
5,Ma05,4,1,0,0
5,Ma05,4,2,0,0
5,Ma05,4,3,0,0
5,Ma05,4,4,6,0
5,Ma05,4,5,21,0
5,Ma05,4,6,8,0
5,Ma05,4,7,6,0
5,Ma05,4,8,5,0
5,Ma05,4,9,2,0
5,Ma05,4,10,1,0
5,Ma05,4,11,2,0
5,Ma05,4,12,1,0
5,Ma05,4,13,4,0
5,Ma05,4,14,1,0
5,Ma05,4,14,14,1
5,Ma06,1,0,0,0
5,Ma06,1,1,1,0
5,Ma06,1,2,1,0
5,Ma06,1,3,1,0
5,Ma06,1,4,4,0
5,Ma06,1,5,15,0
5,Ma06,1,6,8,0
5,Ma06,1,7,6,0
5,Ma06,1,8,5,0
5,Ma06,1,9,6,0
5,Ma06,1,10,4,0
5,Ma06,1,11,4,0
5,Ma06,1,12,3,0
5,Ma06,1,13,0,0
5,Ma06,1,14,2,0
5,Ma06,1,14,18,1
5,Ma06,2,0,0,0
5,Ma06,2,1,1,0
5,Ma06,2,2,1,0
5,Ma06,2,3,1,0
5,Ma06,2,4,10,0
5,Ma06,2,5,14,0
5,Ma06,2,6,11,0
5,Ma06,2,7,7,0
5,Ma06,2,8,6,0
5,Ma06,2,9,4,0
5,Ma06,2,10,2,0
5,Ma06,2,11,3,0
5,Ma06,2,12,3,0
5,Ma06,2,13,1,0
5,Ma06,2,14,0,0
5,Ma06,2,14,10,1
5,Ma06,3,0,0,0
5,Ma06,3,1,1,0
5,Ma06,3,2,0,0
5,Ma06,3,3,1,0
5,Ma06,3,4,9,0
5,Ma06,3,5,18,0
5,Ma06,3,6,9,0
5,Ma06,3,7,5,0
5,Ma06,3,8,2,0
5,Ma06,3,9,2,0
5,Ma06,3,10,4,0
5,Ma06,3,11,5,0
5,Ma06,3,12,3,0
5,Ma06,3,13,2,0
5,Ma06,3,14,0,0
5,Ma06,3,14,14,1
5,Ma06,4,0,0,0
5,Ma06,4,1,0,0
5,Ma06,4,2,1,0
5,Ma06,4,3,6,0
5,Ma06,4,4,7,0
5,Ma06,4,5,15,0
5,Ma06,4,6,7,0
5,Ma06,4,7,4,0
5,Ma06,4,8,4,0
5,Ma06,4,9,4,0
5,Ma06,4,10,3,0
5,Ma06,4,11,3,0
5,Ma06,4,12,1,0
5,Ma06,4,13,3,0
5,Ma06,4,14,1,0
5,Ma06,4,14,13,1
5,Ma07,1,0,0,0
5,Ma07,1,1,1,0
5,Ma07,1,2,1,0
5,Ma07,1,3,2,0
5,Ma07,1,4,18,0
5,Ma07,1,5,19,0
5,Ma07,1,6,15,0
5,Ma07,1,7,8,0
5,Ma07,1,8,7,0
5,Ma07,1,9,2,0
5,Ma07,1,10,1,0
5,Ma07,1,11,1,0
5,Ma07,1,12,0,0
5,Ma07,1,13,0,0
5,Ma07,1,14,0,0
5,Ma07,1,14,3,1
5,Ma07,2,0,0,0
5,Ma07,2,1,3,0
5,Ma07,2,2,2,0
5,Ma07,2,3,3,0
5,Ma07,2,4,9,0
5,Ma07,2,5,10,0
5,Ma07,2,6,9,0
5,Ma07,2,7,7,0
5,Ma07,2,8,1,0
5,Ma07,2,9,5,0
5,Ma07,2,10,1,0
5,Ma07,2,11,1,0
5,Ma07,2,12,0,0
5,Ma07,2,13,3,0
5,Ma07,2,14,1,0
5,Ma07,2,14,3,1
5,Ma07,3,0,0,0
5,Ma07,3,1,1,0
5,Ma07,3,2,2,0
5,Ma07,3,3,3,0
5,Ma07,3,4,16,0
5,Ma07,3,5,14,0
5,Ma07,3,6,13,0
5,Ma07,3,7,7,0
5,Ma07,3,8,6,0
5,Ma07,3,9,0,0
5,Ma07,3,10,2,0
5,Ma07,3,11,1,0
5,Ma07,3,12,2,0
5,Ma07,3,13,1,0
5,Ma07,3,14,2,0
5,Ma07,3,14,4,1
5,Ma07,4,0,0,0
5,Ma07,4,1,2,0
5,Ma07,4,2,2,0
5,Ma07,4,3,4,0
5,Ma07,4,4,10,0
5,Ma07,4,5,17,0
5,Ma07,4,6,10,0
5,Ma07,4,7,10,0
5,Ma07,4,8,5,0
5,Ma07,4,9,4,0
5,Ma07,4,10,0,0
5,Ma07,4,11,0,0
5,Ma07,4,12,0,0
5,Ma07,4,13,2,0
5,Ma07,4,14,1,0
5,Ma07,4,14,2,1
5,Ma08,1,0,0,0
5,Ma08,1,1,0,0
5,Ma08,1,2,0,0
5,Ma08,1,3,3,0
5,Ma08,1,4,4,0
5,Ma08,1,5,2,0
5,Ma08,1,6,10,0
5,Ma08,1,7,3,0
5,Ma08,1,8,5,0
5,Ma08,1,9,3,0
5,Ma08,1,10,4,0
5,Ma08,1,11,2,0
5,Ma08,1,12,4,0
5,Ma08,1,13,2,0
5,Ma08,1,14,1,0
5,Ma08,1,14,19,1
5,Ma08,2,0,0,0
5,Ma08,2,1,1,0
5,Ma08,2,2,2,0
5,Ma08,2,3,1,0
5,Ma08,2,4,5,0
5,Ma08,2,5,11,0
5,Ma08,2,6,5,0
5,Ma08,2,7,4,0
5,Ma08,2,8,5,0
5,Ma08,2,9,2,0
5,Ma08,2,10,3,0
5,Ma08,2,11,1,0
5,Ma08,2,12,1,0
5,Ma08,2,13,2,0
5,Ma08,2,14,1,0
5,Ma08,2,14,27,1
5,Ma08,3,0,0,0
5,Ma08,3,1,0,0
5,Ma08,3,2,1,0
5,Ma08,3,3,1,0
5,Ma08,3,4,4,0
5,Ma08,3,5,1,0
5,Ma08,3,6,1,0
5,Ma08,3,7,2,0
5,Ma08,3,8,3,0
5,Ma08,3,9,4,0
5,Ma08,3,10,3,0
5,Ma08,3,11,1,0
5,Ma08,3,12,3,0
5,Ma08,3,13,1,0
5,Ma08,3,14,2,0
5,Ma08,3,14,35,1
5,Ma08,4,0,0,0
5,Ma08,4,1,0,0
5,Ma08,4,2,0,0
5,Ma08,4,3,1,0
5,Ma08,4,4,3,0
5,Ma08,4,5,6,0
5,Ma08,4,6,5,0
5,Ma08,4,7,1,0
5,Ma08,4,8,3,0
5,Ma08,4,9,5,0
5,Ma08,4,10,2,0
5,Ma08,4,11,2,0
5,Ma08,4,12,1,0
5,Ma08,4,13,2,0
5,Ma08,4,14,0,0
5,Ma08,4,14,31,1
5,If01,1,0,0,0
5,If01,1,1,0,0
5,If01,1,2,1,0
5,If01,1,3,3,0
5,If01,1,4,5,0
5,If01,1,5,0,0
5,If01,1,6,0,0
5,If01,1,7,2,0
5,If01,1,8,1,0
5,If01,1,9,2,0
5,If01,1,10,0,0
5,If01,1,11,2,0
5,If01,1,12,1,0
5,If01,1,13,2,0
5,If01,1,14,0,0
5,If01,1,14,39,1
5,If01,2,0,0,0
5,If01,2,1,0,0
5,If01,2,2,2,0
5,If01,2,3,0,0
5,If01,2,4,2,0
5,If01,2,5,1,0
5,If01,2,6,2,0
5,If01,2,7,2,0
5,If01,2,8,2,0
5,If01,2,9,1,0
5,If01,2,10,2,0
5,If01,2,11,2,0
5,If01,2,12,2,0
5,If01,2,13,1,0
5,If01,2,14,2,0
5,If01,2,14,41,1
5,If01,3,0,0,0
5,If01,3,1,0,0
5,If01,3,2,1,0
5,If01,3,3,1,0
5,If01,3,4,0,0
5,If01,3,5,2,0
5,If01,3,6,1,0
5,If01,3,7,0,0
5,If01,3,8,1,0
5,If01,3,9,3,0
5,If01,3,10,1,0
5,If01,3,11,0,0
5,If01,3,12,1,0
5,If01,3,13,3,0
5,If01,3,14,3,0
5,If01,3,14,50,1
5,If01,4,0,0,0
5,If01,4,1,0,0
5,If01,4,2,0,0
5,If01,4,3,0,0
5,If01,4,4,0,0
5,If01,4,5,3,0
5,If01,4,6,1,0
5,If01,4,7,3,0
5,If01,4,8,4,0
5,If01,4,9,6,0
5,If01,4,10,1,0
5,If01,4,11,1,0
5,If01,4,12,1,0
5,If01,4,13,2,0
5,If01,4,14,1,0
5,If01,4,14,30,1
